Actual,Predicted
3.3768518,3.0341356
1.1569445,1.5365341
1.4,1.6056513
1.2800926,1.6316394
1.2282407,1.3634268
2.0935187,2.3597438
1.5296296,1.3524008
2.6671295,3.0909746
1.3157408,1.6791556
1.5717592,1.4464065
1.1731482,1.3975663
0.3662037,0.31194985
1.963889,1.3861846
1.675463,1.6126521
1.8958334,1.4704416
1.4615741,1.4554647
1.1925926,1.4844736
0.8037037,0.6667013
1.6981481,1.7109417
2.874537,3.1221054
1.1439815,0.9639253
2.0222223,1.3777914
3.2601852,3.0661845
3.026852,3.3649268
1.6009259,1.3182015
2.4726853,2.3825839
2.9231482,2.9976385
1.3319445,1.4112757
1.4064815,1.427234
3.026852,3.1476386
1.0824074,1.4080492
2.2976854,2.4676285
0.81990737,1.3888365
1.6625,1.4155561
1.5912037,1.304844
0.82314813,1.4148628
1.4194444,1.3513439
2.8453703,3.1078308
1.1180555,1.4662648
1.6787038,1.5076613
3.1953704,3.0830863
2.0125,1.4703274
1.5620371,1.5203408
2.7027779,2.9953642
1.3319445,1.6052397
1.4356481,1.4669753
1.6268519,1.6257931
1.1958333,1.3770229
1.7532407,1.4218388
0.8263889,1.301734
2.4597223,2.43629
1.3546296,1.1945449
1.5782408,1.539193
1.1439815,1.4063226
